12/08/2017,Demand
"Portland-Vancouver-Hillsboro, OR-WA (Metro)",14
"Reno, NV (Metro)",14
"Safford, AZ (Micro)",14
"Springfield, OH (Metro)",14
"Carson City, NV (Metro)",13
"Decatur, IL (Metro)",13
"Fort Collins, CO (Metro)",13
"Greenfield Town, MA (Micro)",13
"Lincoln, IL (Micro)",13
"Longview, TX (Metro)",13
"Modesto, CA (Metro)",13
"Moses Lake, WA (Micro)",13
"Ocean City, NJ (Metro)",13
"Othello, WA (Micro)",13
"Rochelle, IL (Micro)",13
"Sandusky, OH (Micro)",13
"Sherman-Denison, TX (Metro)",13
"Bloomsburg-Berwick, PA (Metro)",12
"Dixon, IL (Micro)",12
"Dumas, TX (Micro)",12
"Huntingdon, PA (Micro)",12
"Johnstown, PA (Metro)",12
"Lebanon, PA (Metro)",12
"Longview, WA (Metro)",12
"Norwalk, OH (Micro)",12
"Red Bluff, CA (Micro)",12
"Selinsgrove, PA (Micro)",12
"Shelton, WA (Micro)",12
"Sunbury, PA (Micro)",12
"Tiffin, OH (Micro)",12
"Vineland-Bridgeton, NJ (Metro)",12
"Wenatchee, WA (Metro)",12
"Zanesville, OH (Micro)",12
"Athens, TX (Micro)",11
"Bonham, TX (Micro)",11
"Canton, IL (Micro)",11
"Clewiston, FL (Micro)",11
"Del Rio, TX (Micro)",11
"Killeen-Temple, TX (Metro)",11
"Payson, AZ (Micro)",11
"Salem, OH (Micro)",11
"Palestine, TX (Micro)",10
"Pullman, WA (Micro)",10
"Wauchula, FL (Micro)",10
"Wooster, OH (Micro)",10
"Bremerton-Silverdale, WA (Metro)",9
"Cambridge, OH (Micro)",9
"Charleston-Mattoon, IL (Micro)",9
"Indiana, PA (Micro)",8
"Paris, TX (Micro)",8
"Santa Cruz-Watsonville, CA (Metro)",8
"Uvalde, TX (Micro)",8
"Yuma, AZ (Metro)",8
"Boulder, CO (Metro)",7
"Burlington, IA-IL (Micro)",7
"Canton-Massillon, OH (Metro)",7
"Centralia, WA (Micro)",7
"Corsicana, TX (Micro)",7
"Coshocton, OH (Micro)",7
"Crescent City, CA (Micro)",7
"DuBois, PA (Micro)",7
"Effingham, IL (Micro)",7
"Fernley, NV (Micro)",7
"Findlay, OH (Micro)",7
"Fort Madison-Keokuk, IA-IL-MO (Micro)",7
"Lewiston, ID-WA (Metro)",7
"Lock Haven, PA (Micro)",7
"Mount Pleasant, TX (Micro)",7
"Olympia-Tumwater, WA (Metro)",7
"Paducah, KY-IL (Micro)",7
"Pottsville, PA (Micro)",7
"San Angelo, TX (Metro)",7
"Sierra Vista-Douglas, AZ (Metro)",7
"Snyder, TX (Micro)",7
"Sweetwater, TX (Micro)",7
"Urbana, OH (Micro)",7
"Winnemucca, NV (Micro)",7
"Athens, OH (Micro)",6
"Bay City, TX (Micro)",6
"Cape Girardeau, MO-IL (Metro)",6
"Centralia, IL (Micro)",6
"Clearlake, CA (Micro)",6
"Defiance, OH (Micro)",6
"Flagstaff, AZ (Metro)",6
"Gainesville, TX (Micro)",6
"Montrose, CO (Micro)",6
"Napa, CA (Metro)",6
"New Castle, PA (Micro)",6
"Plainview, TX (Micro)",6
"Port Clinton, OH (Micro)",6
"The Villages, FL (Metro)",6
"Amarillo, TX (Metro)",5
"Beeville, TX (Micro)",5
"Champaign-Urbana, IL (Metro)",5
"Fort Morgan, CO (Micro)",5
"Macomb, IL (Micro)",5
"Washington Court House, OH (Micro)",5
"Kerrville, TX (Micro)",3
