12/02/2017,Demand
City,Leads
New York,412
"Dallas-Fort Worth-Arlington, TX (Metro)",306
"Los Angeles-Long Beach-Anaheim, CA (Metro)",302
Philadelphia,214
"Houston-The Woodlands-Sugar Land, TX (Metro)",202
"Chicago-Naperville-Elgin, IL-IN-WI (Metro)",183
"Riverside-San Bernardino-Ontario, CA (Metro)",164
Boston,147
"San Francisco-Oakland-Hayward, CA (Metro)",146
"Miami-Fort Lauderdale-West Palm Beach, FL (Metro)",141
"San Diego-Carlsbad, CA (Metro)",131
"Cleveland-Elyria, OH (Metro)",110
"Tampa-St. Petersburg-Clearwater, FL (Metro)",101
Pittsburgh,95
"Orlando-Kissimmee-Sanford, FL (Metro)",93
"San Antonio-New Braunfels, TX (Metro)",93
"Seattle-Tacoma-Bellevue, WA (Metro)",93
"San Jose-Sunnyvale-Santa Clara, CA (Metro)",92
"Reno, NV (Metro)",90
"Worcester, MA-CT (Metro)",84
"Sacramento--Roseville--Arden-Arcade, CA (Metro)",80
"Phoenix-Mesa-Scottsdale, AZ (Metro)",79
"Beaumont-Port Arthur, TX (Metro)",78
"Las Vegas-Henderson-Paradise, NV (Metro)",78
"Columbus, OH (Metro)",70
"Springfield, MA (Metro)",70
"Youngstown-Warren-Boardman, OH-PA (Metro)",65
"Cincinnati, OH-KY-IN (Metro)",61
"Austin-Round Rock, TX (Metro)",55
"Scranton--Wilkes-Barre--Hazleton, PA (Metro)",54
"Allentown-Bethlehem-Easton, PA-NJ (Metro)",53
"Toledo, OH (Metro)",52
"Modesto, CA (Metro)",50
"Pensacola-Ferry Pass-Brent, FL (Metro)",48
"El Paso, TX (Metro)",47
"McAllen-Edinburg-Mission, TX (Metro)",43
"Pittsfield, MA (Metro)",42
"Dayton, OH (Metro)",41
"Fresno, CA (Metro)",40
"Denver-Aurora-Lakewood, CO (Metro)",38
"Lakeland-Winter Haven, FL (Metro)",38
"Tallahassee, FL (Metro)",38
"Jacksonville, FL (Metro)",37
"Salinas, CA (Metro)",35
"Visalia-Porterville, CA (Metro)",34
"Deltona-Daytona Beach-Ormond Beach, FL (Metro)",33
"St. Louis, MO-IL (Metro)",32
"Lubbock, TX (Metro)",31
"Madera, CA (Metro)",31
"Sebring, FL (Metro)",31
"Oxnard-Thousand Oaks-Ventura, CA (Metro)",30
"Bakersfield, CA (Metro)",29
"Carbondale-Marion, IL (Metro)",29
"Providence-Warwick, RI-MA (Metro)",28
"Santa Maria-Santa Barbara, CA (Metro)",28
"Tyler, TX (Metro)",28
"Bloomsburg-Berwick, PA (Metro)",27
"Huntingdon, PA (Micro)",27
"Longview, TX (Metro)",27
"Portland-Vancouver-Hillsboro, OR-WA (Metro)",27
"Rockford, IL (Metro)",27
"Akron, OH (Metro)",26
"Bellingham, WA (Metro)",26
"Hanford-Corcoran, CA (Metro)",26
"Key West, FL (Micro)",26
"East Stroudsburg, PA (Metro)",25
"Laredo, TX (Metro)",24
"Vallejo-Fairfield, CA (Metro)",24
"Fernley, NV (Micro)",23
"Reading, PA (Metro)",23
"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metro)",23
"Barnstable Town, MA (Metro)",22
"Prescott, AZ (Metro)",22
"Victoria, TX (Metro)",22
"Cape Coral-Fort Myers, FL (Metro)",21
"Chillicothe, OH (Micro)",21
"Decatur, IL (Metro)",21
"Crestview-Fort Walton Beach-Destin, FL (Metro)",20
"Fort Collins, CO (Metro)",20
"Salem, OH (Micro)",20
"Davenport-Moline-Rock Island, IA-IL (Metro)",19
"Punta Gorda, FL (Metro)",19
"Redding, CA (Metro)",19
"Sulphur Springs, TX (Micro)",19
"College Station-Bryan, TX (Metro)",18
"Trenton, NJ (Metro)",18
"Corpus Christi, TX (Metro)",17
"Red Bluff, CA (Micro)",17
"Harrisburg-Carlisle, PA (Metro)",16
"Mount Vernon-Anacortes, WA (Metro)",16
"Panama City, FL (Metro)",16
"Wauchula, FL (Micro)",16
"Durango, CO (Micro)",15
"Greeley, CO (Metro)",15
"Napa, CA (Metro)",15
"Santa Rosa, CA (Metro)",15
"Wheeling, WV-OH (Metro)",15
"Yuba City, CA (Metro)",15
"Ashland, OH (Micro)",14
"Bellefontaine, OH (Micro)",14
"Borger, TX (Micro)",14
"Kennewick-Richland, WA (Metro)",14
"Lebanon, PA (Metro)",14
"Levelland, TX (Micro)",14
"New Castle, PA (Micro)",14
"Plainview, TX (Micro)",14
"Portsmouth, OH (Micro)",14
"Pullman, WA (Micro)",14
"San Angelo, TX (Metro)",14
"Sunbury, PA (Micro)",14
"Tucson, AZ (Metro)",14
"Wapakoneta, OH (Micro)",14
"Wenatchee, WA (Metro)",14
"Wilmington, OH (Micro)",14
"Amarillo, TX (Metro)",13
"Bonham, TX (Micro)",13
"Colorado Springs, CO (Metro)",13
"Gainesville, FL (Metro)",13
"Greenfield Town, MA (Micro)",13
"Lancaster, PA (Metro)",13
"Longview, WA (Metro)",13
"Springfield, OH (Metro)",13
"Texarkana, TX-AR (Metro)",13
"Weirton-Steubenville, WV-OH (Metro)",13
"Atlantic City-Hammonton, NJ (Metro)",12
"Canton-Massillon, OH (Metro)",12
"Grand Junction, CO (Metro)",12
"North Port-Sarasota-Bradenton, FL (Metro)",12
"Palatka, FL (Micro)",12
"Rochelle, IL (Micro)",12
"Santa Cruz-Watsonville, CA (Metro)",12
"Danville, IL (Metro)",11
"Jacksonville, TX (Micro)",11
"Killeen-Temple, TX (Metro)",11
"Port St. Lucie, FL (Metro)",11
"Quincy, IL-MO (Micro)",11
"Springfield, IL (Metro)",11
"Stockton-Lodi, CA (Metro)",11
"Waco, TX (Metro)",11
"Washington Court House, OH (Micro)",11
"Yuma, AZ (Metro)",11
"Bremerton-Silverdale, WA (Metro)",10
"Jackson, OH (Micro)",10
"Odessa, TX (Metro)",10
"Ottawa-Peru, IL (Micro)",10
"Pottsville, PA (Micro)",10
"Show Low, AZ (Micro)",10
"Bradford, PA (Micro)",9
"Lake Havasu City-Kingman, AZ (Metro)",9
"Midland, TX (Metro)",9
"Norwalk, OH (Micro)",9
"Peoria, IL (Metro)",9
"Aberdeen, WA (Micro)",8
"Carson City, NV (Metro)",8
"Clearlake, CA (Micro)",8
"Corsicana, TX (Micro)",8
"Fallon, NV (Micro)",8
"Nacogdoches, TX (Micro)",8
"Oak Harbor, WA (Micro)",8
"Wichita Falls, TX (Metro)",8
"Abilene, TX (Metro)",7
