12/09/2017,Demand
"Scranton--Wilkes-Barre--Hazleton, PA (Metro)",36
"Canton-Massillon, OH (Metro)",35
"Killeen-Temple, TX (Metro)",35
"Modesto, CA (Metro)",35
"Crestview-Fort Walton Beach-Destin, FL (Metro)",33
"Gainesville, FL (Metro)",33
"Marshall, TX (Micro)",33
"Victoria, TX (Metro)",33
"Clewiston, FL (Micro)",32
"Greenfield Town, MA (Micro)",32
"Lake City, FL (Micro)",32
"Walla Walla, WA (Metro)",32
"York-Hanover, PA (Metro)",32
"Bradford, PA (Micro)",31
"Brownsville-Harlingen, TX (Metro)",31
"Huntsville, TX (Micro)",31
"Lancaster, PA (Metro)",31
"Bellingham, WA (Metro)",30
"Marion, OH (Micro)",30
"Naples-Immokalee-Marco Island, FL (Metro)",30
"Show Low, AZ (Micro)",30
"Ukiah, CA (Micro)",30
"Bucyrus, OH (Micro)",29
"Gainesville, TX (Micro)",29
"Lake Havasu City-Kingman, AZ (Metro)",29
"Athens, OH (Micro)",28
"Sherman-Denison, TX (Metro)",27
"Williamsport, PA (Metro)",27
"Levelland, TX (Micro)",26
"Salinas, CA (Metro)",25
"Wooster, OH (Micro)",25
"Clearlake, CA (Micro)",24
"Lufkin, TX (Micro)",24
"Moses Lake, WA (Micro)",24
"Sonora, CA (Micro)",24
"Boulder, CO (Metro)",23
"Grand Junction, CO (Metro)",23
"Lima, OH (Metro)",23
"Madera, CA (Metro)",22
"Payson, AZ (Micro)",22
"Midland, TX (Metro)",21
"Reading, PA (Metro)",21
"Rochelle, IL (Micro)",21
"Johnstown, PA (Metro)",20
"Laredo, TX (Metro)",20
"Mount Vernon-Anacortes, WA (Metro)",20
"Prescott, AZ (Metro)",20
"Durango, CO (Micro)",19
"Flagstaff, AZ (Metro)",19
"Olympia-Tumwater, WA (Metro)",19
"Paris, TX (Micro)",19
"Reno, NV (Metro)",19
"Santa Rosa, CA (Metro)",19
"Cañon City, CO (Micro)",18
"Huntingdon, PA (Micro)",18
"Quincy, IL-MO (Micro)",18
"Sidney, OH (Micro)",18
"Snyder, TX (Micro)",18
"Trenton, NJ (Metro)",18
"Chillicothe, OH (Micro)",17
"Huntington-Ashland, WV-KY-OH (Metro)",17
"Palestine, TX (Micro)",17
"Sebastian-Vero Beach, FL (Metro)",17
"Chambersburg-Waynesboro, PA (Metro)",16
"Findlay, OH (Micro)",16
"Glenwood Springs, CO (Micro)",16
"Hanford-Corcoran, CA (Metro)",16
"Lock Haven, PA (Micro)",16
"Ottawa-Peru, IL (Micro)",16
"Red Bluff, CA (Micro)",16
"Sandusky, OH (Micro)",16
"Weirton-Steubenville, WV-OH (Metro)",16
"Aberdeen, WA (Micro)",15
"Charleston-Mattoon, IL (Micro)",15
"DuBois, PA (Micro)",15
"Big Spring, TX (Micro)",14
"Carson City, NV (Metro)",14
"Meadville, PA (Micro)",14
"Merced, CA (Metro)",14
"Pottsville, PA (Micro)",14
"Sierra Vista-Douglas, AZ (Metro)",14
"Springfield, OH (Metro)",14
"Urbana, OH (Micro)",14
"Yuba City, CA (Metro)",14
"Amarillo, TX (Metro)",13
"Atlantic City-Hammonton, NJ (Metro)",13
"Fremont, OH (Micro)",13
"Kennewick-Richland, WA (Metro)",13
"Mansfield, OH (Metro)",13
"Othello, WA (Micro)",13
"Portsmouth, OH (Micro)",13
"Safford, AZ (Micro)",13
"San Angelo, TX (Metro)",13
"Sweetwater, TX (Micro)",13
"Vineland-Bridgeton, NJ (Metro)",13
"Barnstable Town, MA (Metro)",12
"Bremerton-Silverdale, WA (Metro)",12
"Brownwood, TX (Micro)",12
"Centralia, WA (Micro)",12
"Decatur, IL (Metro)",12
"Effingham, IL (Micro)",12
"Freeport, IL (Micro)",12
"Gettysburg, PA (Metro)",12
"Greenville, OH (Micro)",12
"Jacksonville, TX (Micro)",12
"Oxnard-Thousand Oaks-Ventura, CA (Metro)",12
"Port Angeles, WA (Micro)",12
"Punta Gorda, FL (Metro)",12
"Rockford, IL (Metro)",12
"Sterling, IL (Micro)",12
"Bloomington, IL (Metro)",11
"Eureka-Arcata-Fortuna, CA (Micro)",11
"Galesburg, IL (Micro)",11
"Palm Bay-Melbourne-Titusville, FL (Metro)",11
"Redding, CA (Metro)",11
"Springfield, IL (Metro)",11
"Wenatchee, WA (Metro)",11
"Wheeling, WV-OH (Metro)",11
"Davenport-Moline-Rock Island, IA-IL (Metro)",10
"Sebring, FL (Metro)",9
"Tiffin, OH (Micro)",9
"Washington Court House, OH (Micro)",9
"Zanesville, OH (Micro)",9
"Athens, TX (Micro)",8
"Hereford, TX (Micro)",8
"Norwalk, OH (Micro)",8
"Alice, TX (Micro)",7
"Ashland, OH (Micro)",7
"Beeville, TX (Micro)",7
"Brenham, TX (Micro)",7
"Centralia, IL (Micro)",7
"Edwards, CO (Micro)",7
"Elko, NV (Micro)",7
"Greeley, CO (Metro)",7
"Kingsville, TX (Micro)",7
"Lebanon, PA (Metro)",7
"Marietta, OH (Micro)",7
"Mount Vernon, OH (Micro)",7
"Ocean City, NJ (Metro)",7
"Odessa, TX (Metro)",7
"Oil City, PA (Micro)",7
"Pahrump, NV (Micro)",7
"Pampa, TX (Micro)",7
"Rio Grande City, TX (Micro)",7
"Somerset, PA (Micro)",7
"Sulphur Springs, TX (Micro)",7
"Texarkana, TX-AR (Metro)",7
"Truckee-Grass Valley, CA (Micro)",7
"Waco, TX (Metro)",7
"Altoona, PA (Metro)",6
"Andrews, TX (Micro)",6
"Bloomsburg-Berwick, PA (Metro)",6
"Borger, TX (Micro)",6
"Canton, IL (Micro)",6
"Corsicana, TX (Micro)",6
"Crescent City, CA (Micro)",6
"Ellensburg, WA (Micro)",6
"Fernley, NV (Micro)",6
"Fort Morgan, CO (Micro)",6
"Fredericksburg, TX (Micro)",6
"Homosassa Springs, FL (Metro)",6
"Kerrville, TX (Micro)",6
"Lamesa, TX (Micro)",6
"Lewisburg, PA (Micro)",6
"Mineral Wells, TX (Micro)",6
"New Philadelphia-Dover, OH (Micro)",6
"Paducah, KY-IL (Micro)",6
"Pontiac, IL (Micro)",6
"Portland-Vancouver-Hillsboro, OR-WA (Metro)",6
"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metro)",6
"Santa Maria-Santa Barbara, CA (Metro)",6
"State College, PA (Metro)",6
"Steamboat Springs, CO (Micro)",6
"Sunbury, PA (Micro)",6
"Vernon, TX (Micro)",6
"Del Rio, TX (Micro)",5
"Dixon, IL (Micro)",5
"Eagle Pass, TX (Micro)",5
"Gardnerville Ranchos, NV (Micro)",5
"New Castle, PA (Micro)",5
"Salem, OH (Micro)",5
"St. Marys, PA (Micro)",5
"Uvalde, TX (Micro)",5
"Wauchula, FL (Micro)",5
"Wichita Falls, TX (Metro)",5
"Yuma, AZ (Metro)",5
"Arcadia, FL (Micro)",4
"Fort Collins, CO (Metro)",3
"Mount Vernon, IL (Micro)",3
"Defiance, OH (Micro)",2
"Van Wert, OH (Micro)",2
