12/09/2017,Demand
City,Leads
"Chicago-Naperville-Elgin, IL-IN-WI (Metro)",592
"Los Angeles-Long Beach-Anaheim, CA (Metro)",569
"Dallas-Fort Worth-Arlington, TX (Metro)",488
Philadelphia,352
"Houston-The Woodlands-Sugar Land, TX (Metro)",346
New York,334
"Seattle-Tacoma-Bellevue, WA (Metro)",264
"Riverside-San Bernardino-Ontario, CA (Metro)",241
Pittsburgh,220
"Miami-Fort Lauderdale-West Palm Beach, FL (Metro)",207
"Tampa-St. Petersburg-Clearwater, FL (Metro)",205
"Phoenix-Mesa-Scottsdale, AZ (Metro)",187
Boston,186
"San Francisco-Oakland-Hayward, CA (Metro)",186
"Columbus, OH (Metro)",177
"Orlando-Kissimmee-Sanford, FL (Metro)",155
"San Diego-Carlsbad, CA (Metro)",137
"San Antonio-New Braunfels, TX (Metro)",131
"Cleveland-Elyria, OH (Metro)",130
"Jacksonville, FL (Metro)",129
"Sacramento--Roseville--Arden-Arcade, CA (Metro)",124
"Las Vegas-Henderson-Paradise, NV (Metro)",123
"San Jose-Sunnyvale-Santa Clara, CA (Metro)",122
"Denver-Aurora-Lakewood, CO (Metro)",120
"El Paso, TX (Metro)",84
"Springfield, MA (Metro)",83
"Spokane-Spokane Valley, WA (Metro)",82
"Akron, OH (Metro)",80
"Dayton, OH (Metro)",80
"Bakersfield, CA (Metro)",79
"Fresno, CA (Metro)",78
"Cincinnati, OH-KY-IN (Metro)",77
"Harrisburg-Carlisle, PA (Metro)",74
"Allentown-Bethlehem-Easton, PA-NJ (Metro)",73
"Visalia-Porterville, CA (Metro)",73
"St. Louis, MO-IL (Metro)",71
"Ocala, FL (Metro)",66
"Worcester, MA-CT (Metro)",66
"North Port-Sarasota-Bradenton, FL (Metro)",62
"Carbondale-Marion, IL (Metro)",60
"McAllen-Edinburg-Mission, TX (Metro)",59
"Beaumont-Port Arthur, TX (Metro)",58
"Lubbock, TX (Metro)",57
"Austin-Round Rock, TX (Metro)",56
"Lakeland-Winter Haven, FL (Metro)",56
"Vallejo-Fairfield, CA (Metro)",56
"Youngstown-Warren-Boardman, OH-PA (Metro)",56
"Tucson, AZ (Metro)",54
"Erie, PA (Metro)",53
"Tyler, TX (Metro)",53
"Providence-Warwick, RI-MA (Metro)",49
"Peoria, IL (Metro)",48
"Pueblo, CO (Metro)",47
"Cape Coral-Fort Myers, FL (Metro)",46
"Colorado Springs, CO (Metro)",46
"Key West, FL (Micro)",46
"Toledo, OH (Metro)",46
"Palatka, FL (Micro)",45
"Pensacola-Ferry Pass-Brent, FL (Metro)",45
"Deltona-Daytona Beach-Ormond Beach, FL (Metro)",44
"Stockton-Lodi, CA (Metro)",44
"Corpus Christi, TX (Metro)",43
"Tallahassee, FL (Metro)",43
"Ashtabula, OH (Micro)",42
"Bonham, TX (Micro)",41
"Panama City, FL (Metro)",40
"Port St. Lucie, FL (Metro)",39
"East Stroudsburg, PA (Metro)",38
"Longview, TX (Metro)",37
