12/07/2017,Demand
"Lufkin, TX (Micro)",15
"Palestine, TX (Micro)",15
"Payson, AZ (Micro)",15
"Bloomsburg-Berwick, PA (Metro)",14
"Eagle Pass, TX (Micro)",14
"Fort Morgan, CO (Micro)",14
"Kingsville, TX (Micro)",14
"Madera, CA (Metro)",14
"Oil City, PA (Micro)",14
"Shelton, WA (Micro)",14
"Sonora, CA (Micro)",14
"Waco, TX (Metro)",14
"Elko, NV (Micro)",13
"Harrisburg-Carlisle, PA (Metro)",13
"Mount Vernon, OH (Micro)",13
"Port Lavaca, TX (Micro)",13
"Santa Maria-Santa Barbara, CA (Metro)",13
"Wichita Falls, TX (Metro)",13
"Yuma, AZ (Metro)",13
"Bucyrus, OH (Micro)",12
"Chillicothe, OH (Micro)",12
"Decatur, IL (Metro)",12
"Dixon, IL (Micro)",12
"Gainesville, FL (Metro)",12
"Jackson, OH (Micro)",12
"Levelland, TX (Micro)",12
"Red Bluff, CA (Micro)",12
"Rochelle, IL (Micro)",12
"Springfield, IL (Metro)",12
"Urbana, OH (Micro)",12
"Yuba City, CA (Metro)",12
"Chambersburg-Waynesboro, PA (Metro)",11
"Danville, IL (Metro)",11
"Eureka-Arcata-Fortuna, CA (Micro)",11
"Quincy, IL-MO (Micro)",11
"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metro)",11
"Borger, TX (Micro)",10
"El Campo, TX (Micro)",10
"Gainesville, TX (Micro)",10
"Mount Pleasant, TX (Micro)",10
"Sunbury, PA (Micro)",10
"Abilene, TX (Metro)",9
"Odessa, TX (Metro)",9
"Gettysburg, PA (Metro)",8
"Lake City, FL (Micro)",8
"Punta Gorda, FL (Metro)",8
"Trenton, NJ (Metro)",8
"Uvalde, TX (Micro)",8
"Williamsport, PA (Metro)",8
"Wilmington, OH (Micro)",8
"Corsicana, TX (Micro)",7
"Gardnerville Ranchos, NV (Micro)",7
"Huntington-Ashland, WV-KY-OH (Metro)",7
"Kankakee, IL (Metro)",7
"Kerrville, TX (Micro)",7
"Lima, OH (Metro)",7
