12/01/2017,Demand
City,Leads
"Chicago-Naperville-Elgin, IL-IN-WI (Metro)",388
"Los Angeles-Long Beach-Anaheim, CA (Metro)",358
Boston,352
"Dallas-Fort Worth-Arlington, TX (Metro)",315
"Seattle-Tacoma-Bellevue, WA (Metro)",248
"Houston-The Woodlands-Sugar Land, TX (Metro)",237
Philadelphia,232
New York,191
"Riverside-San Bernardino-Ontario, CA (Metro)",184
"Miami-Fort Lauderdale-West Palm Beach, FL (Metro)",157
"Orlando-Kissimmee-Sanford, FL (Metro)",142
"San Francisco-Oakland-Hayward, CA (Metro)",134
"Columbus, OH (Metro)",131
"Sacramento--Roseville--Arden-Arcade, CA (Metro)",125
"Cleveland-Elyria, OH (Metro)",119
"Tampa-St. Petersburg-Clearwater, FL (Metro)",107
"Austin-Round Rock, TX (Metro)",103
"San Jose-Sunnyvale-Santa Clara, CA (Metro)",103
"Dayton, OH (Metro)",99
"Stockton-Lodi, CA (Metro)",99
"Worcester, MA-CT (Metro)",99
Pittsburgh,90
"Las Vegas-Henderson-Paradise, NV (Metro)",86
"Reno, NV (Metro)",83
"San Diego-Carlsbad, CA (Metro)",83
"Jacksonville, FL (Metro)",82
"Scranton--Wilkes-Barre--Hazleton, PA (Metro)",82
"Beaumont-Port Arthur, TX (Metro)",80
"Bakersfield, CA (Metro)",78
"Cincinnati, OH-KY-IN (Metro)",78
"San Antonio-New Braunfels, TX (Metro)",78
"Toledo, OH (Metro)",76
"El Paso, TX (Metro)",68
"Allentown-Bethlehem-Easton, PA-NJ (Metro)",63
"Brownsville-Harlingen, TX (Metro)",63
"Killeen-Temple, TX (Metro)",60
"Colorado Springs, CO (Metro)",59
"Deltona-Daytona Beach-Ormond Beach, FL (Metro)",59
"Pensacola-Ferry Pass-Brent, FL (Metro)",55
"Vallejo-Fairfield, CA (Metro)",55
"Portland-Vancouver-Hillsboro, OR-WA (Metro)",54
"Denver-Aurora-Lakewood, CO (Metro)",52
"Phoenix-Mesa-Scottsdale, AZ (Metro)",51
"St. Louis, MO-IL (Metro)",51
"Visalia-Porterville, CA (Metro)",50
"Lubbock, TX (Metro)",49
"Salinas, CA (Metro)",49
"Akron, OH (Metro)",48
"Yuba City, CA (Metro)",46
"Modesto, CA (Metro)",44
"Corpus Christi, TX (Metro)",43
"Lakeland-Winter Haven, FL (Metro)",42
"York-Hanover, PA (Metro)",42
"Palatka, FL (Micro)",38
"Springfield, MA (Metro)",37
"Springfield, OH (Metro)",36
"Bremerton-Silverdale, WA (Metro)",35
"Cape Coral-Fort Myers, FL (Metro)",35
"El Centro, CA (Metro)",35
"Marietta, OH (Micro)",35
"Greenfield Town, MA (Micro)",34
"Panama City, FL (Metro)",33
"Athens, TX (Micro)",32
"Napa, CA (Metro)",32
"Rockford, IL (Metro)",32
"Erie, PA (Metro)",31
"Hanford-Corcoran, CA (Metro)",31
"Moses Lake, WA (Micro)",31
"San Angelo, TX (Metro)",31
"Laredo, TX (Metro)",30
"Ocala, FL (Metro)",30
"Pittsfield, MA (Metro)",30
"Santa Maria-Santa Barbara, CA (Metro)",30
"Spokane-Spokane Valley, WA (Metro)",30
"Yakima, WA (Metro)",30
"Bloomsburg-Berwick, PA (Metro)",28
"Fresno, CA (Metro)",28
"Harrisburg-Carlisle, PA (Metro)",28
"Tallahassee, FL (Metro)",28
"Barnstable Town, MA (Metro)",27
"Youngstown-Warren-Boardman, OH-PA (Metro)",27
"Longview, TX (Metro)",26
"Prescott, AZ (Metro)",25
"Canton-Massillon, OH (Metro)",24
"Plainview, TX (Micro)",24
"Marshall, TX (Micro)",23
"Oxnard-Thousand Oaks-Ventura, CA (Metro)",23
"Redding, CA (Metro)",23
"Tyler, TX (Metro)",23
"Port Angeles, WA (Micro)",22
"Tucson, AZ (Metro)",22
"Abilene, TX (Metro)",21
"Amarillo, TX (Metro)",21
"Crestview-Fort Walton Beach-Destin, FL (Metro)",21
"Merced, CA (Metro)",21
"Midland, TX (Metro)",21
"Carbondale-Marion, IL (Metro)",20
"Greeley, CO (Metro)",20
"Mount Vernon, OH (Micro)",20
"New Castle, PA (Micro)",20
"Reading, PA (Metro)",20
"State College, PA (Metro)",20
"Davenport-Moline-Rock Island, IA-IL (Metro)",19
"Gainesville, FL (Metro)",19
"Marion, OH (Micro)",19
"North Port-Sarasota-Bradenton, FL (Metro)",19
"Sonora, CA (Micro)",19
"Texarkana, TX-AR (Metro)",19
"Victoria, TX (Metro)",19
"College Station-Bryan, TX (Metro)",18
"Mineral Wells, TX (Micro)",18
"Mount Vernon-Anacortes, WA (Metro)",18
"Portsmouth, OH (Micro)",18
"Athens, OH (Micro)",17
"Bucyrus, OH (Micro)",17
"Lake Havasu City-Kingman, AZ (Metro)",17
"Cambridge, OH (Micro)",16
"Cañon City, CO (Micro)",16
"Lancaster, PA (Metro)",16
"Ottawa-Peru, IL (Micro)",16
"Palestine, TX (Micro)",16
"The Villages, FL (Metro)",16
"Aberdeen, WA (Micro)",15
"Durango, CO (Micro)",15
"East Stroudsburg, PA (Metro)",15
"Madera, CA (Metro)",15
"Palm Bay-Melbourne-Titusville, FL (Metro)",15
"Zanesville, OH (Micro)",15
"Bellingham, WA (Metro)",14
"Bloomington, IL (Metro)",14
"Grand Junction, CO (Metro)",14
"Homosassa Springs, FL (Metro)",14
"Huntsville, TX (Micro)",14
"Pottsville, PA (Micro)",14
"Providence-Warwick, RI-MA (Metro)",14
"Quincy, IL-MO (Micro)",14
"Sebring, FL (Metro)",14
"Del Rio, TX (Micro)",13
"Dixon, IL (Micro)",13
"Levelland, TX (Micro)",13
"Mansfield, OH (Metro)",13
"Odessa, TX (Metro)",13
"Port St. Lucie, FL (Metro)",13
"Sierra Vista-Douglas, AZ (Metro)",13
"Wilmington, OH (Micro)",13
"Alice, TX (Micro)",12
"Ashtabula, OH (Micro)",12
"Atlantic City-Hammonton, NJ (Metro)",12
"Clearlake, CA (Micro)",12
"Crescent City, CA (Micro)",12
"Decatur, IL (Metro)",12
"Ellensburg, WA (Micro)",12
"Flagstaff, AZ (Metro)",12
"Gettysburg, PA (Metro)",12
"Key West, FL (Micro)",12
"Lebanon, PA (Metro)",12
"Champaign-Urbana, IL (Metro)",11
"Oil City, PA (Micro)",11
"Punta Gorda, FL (Metro)",11
"Wheeling, WV-OH (Metro)",11
"Celina, OH (Micro)",10
"McAllen-Edinburg-Mission, TX (Metro)",10
"Peoria, IL (Metro)",10
"Pullman, WA (Micro)",10
"Rio Grande City, TX (Micro)",10
"Springfield, IL (Metro)",10
"Sterling, IL (Micro)",10
"Sulphur Springs, TX (Micro)",10
"Uvalde, TX (Micro)",10
"Weirton-Steubenville, WV-OH (Metro)",10
"Chico, CA (Metro)",9
"Chillicothe, OH (Micro)",9
"Danville, IL (Metro)",9
"Longview, WA (Metro)",9
"Show Low, AZ (Micro)",9
"Washington Court House, OH (Micro)",9
"Wichita Falls, TX (Metro)",9
"Fort Collins, CO (Metro)",8
"Galesburg, IL (Micro)",8
"Johnstown, PA (Metro)",8
"Nacogdoches, TX (Micro)",8
"Pahrump, NV (Micro)",8
"Pampa, TX (Micro)",8
"Safford, AZ (Micro)",8
"Vineland-Bridgeton, NJ (Metro)",8
"Ashland, OH (Micro)",7
"Bellefontaine, OH (Micro)",7
"Coshocton, OH (Micro)",7
"Dumas, TX (Micro)",7
"Gainesville, TX (Micro)",7
"Greenville, OH (Micro)",7
"Huntington-Ashland, WV-KY-OH (Metro)",7
"Jacksonville, IL (Micro)",7
"Lewiston, ID-WA (Metro)",7
"New Philadelphia-Dover, OH (Micro)",7
"Sandusky, OH (Micro)",7
"Santa Rosa, CA (Metro)",7
"Sunbury, PA (Micro)",7
"Wapakoneta, OH (Micro)",7
"Wooster, OH (Micro)",7
"Zapata, TX (Micro)",7
"Andrews, TX (Micro)",6
"Bay City, TX (Micro)",6
"Borger, TX (Micro)",6
"Bradford, PA (Micro)",6
"Corsicana, TX (Micro)",6
"Eagle Pass, TX (Micro)",6
"Edwards, CO (Micro)",6
"Elko, NV (Micro)",6
"Glenwood Springs, CO (Micro)",6
"Lake City, FL (Micro)",6
"Nogales, AZ (Micro)",6
"Oak Harbor, WA (Micro)",6
"Port Lavaca, TX (Micro)",6
"Pueblo, CO (Metro)",6
"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metro)",6
"Snyder, TX (Micro)",6
"Somerset, PA (Micro)",6
"Stephenville, TX (Micro)",6
"Tiffin, OH (Micro)",6
"Trenton, NJ (Metro)",6
"Wenatchee, WA (Metro)",6
"Williamsport, PA (Metro)",6
"Winnemucca, NV (Micro)",6
"Yuma, AZ (Metro)",6
"Kennewick-Richland, WA (Metro)",5
"Paducah, KY-IL (Micro)",5
"Salem, OH (Micro)",5
"Santa Cruz-Watsonville, CA (Metro)",5
"Bonham, TX (Micro)",4
"Charleston-Mattoon, IL (Micro)",4
"Findlay, OH (Micro)",4
"Fredericksburg, TX (Micro)",4
"Kingsville, TX (Micro)",4
"Lima, OH (Metro)",4
"Lincoln, IL (Micro)",4
"Olympia-Tumwater, WA (Metro)",4
"Truckee-Grass Valley, CA (Micro)",4
"Altoona, PA (Metro)",3
