12/06/2017,Demand
City,Leads
"Los Angeles-Long Beach-Anaheim, CA (Metro)",776
"Chicago-Naperville-Elgin, IL-IN-WI (Metro)",652
Philadelphia,576
"Dallas-Fort Worth-Arlington, TX (Metro)",481
Boston,409
New York,398
"Riverside-San Bernardino-Ontario, CA (Metro)",362
"Houston-The Woodlands-Sugar Land, TX (Metro)",342
"Seattle-Tacoma-Bellevue, WA (Metro)",333
"Miami-Fort Lauderdale-West Palm Beach, FL (Metro)",330
"San Francisco-Oakland-Hayward, CA (Metro)",289
Pittsburgh,231
"San Antonio-New Braunfels, TX (Metro)",216
"Orlando-Kissimmee-Sanford, FL (Metro)",203
"Tampa-St. Petersburg-Clearwater, FL (Metro)",189
"Cleveland-Elyria, OH (Metro)",163
"Las Vegas-Henderson-Paradise, NV (Metro)",147
"Sacramento--Roseville--Arden-Arcade, CA (Metro)",140
"Columbus, OH (Metro)",139
"San Diego-Carlsbad, CA (Metro)",139
"Phoenix-Mesa-Scottsdale, AZ (Metro)",133
"Cincinnati, OH-KY-IN (Metro)",128
"Austin-Round Rock, TX (Metro)",125
"Worcester, MA-CT (Metro)",121
"San Jose-Sunnyvale-Santa Clara, CA (Metro)",117
"Harrisburg-Carlisle, PA (Metro)",112
"Denver-Aurora-Lakewood, CO (Metro)",107
"Spokane-Spokane Valley, WA (Metro)",102
"Bakersfield, CA (Metro)",101
"Fresno, CA (Metro)",100
"Toledo, OH (Metro)",97
"Palm Bay-Melbourne-Titusville, FL (Metro)",92
"Springfield, MA (Metro)",85
"Tucson, AZ (Metro)",85
"Youngstown-Warren-Boardman, OH-PA (Metro)",85
"Pensacola-Ferry Pass-Brent, FL (Metro)",81
"Dayton, OH (Metro)",78
"Akron, OH (Metro)",77
"Deltona-Daytona Beach-Ormond Beach, FL (Metro)",75
"El Paso, TX (Metro)",75
"Visalia-Porterville, CA (Metro)",74
"Tallahassee, FL (Metro)",72
"Modesto, CA (Metro)",71
"Lakeland-Winter Haven, FL (Metro)",69
"Canton-Massillon, OH (Metro)",68
"Erie, PA (Metro)",65
"Allentown-Bethlehem-Easton, PA-NJ (Metro)",64
"Barnstable Town, MA (Metro)",63
"St. Louis, MO-IL (Metro)",61
"Corpus Christi, TX (Metro)",59
"Longview, TX (Metro)",59
"Beaumont-Port Arthur, TX (Metro)",58
"Jacksonville, FL (Metro)",57
"Killeen-Temple, TX (Metro)",56
"Atlantic City-Hammonton, NJ (Metro)",54
"Reading, PA (Metro)",53
"Chico, CA (Metro)",46
"Port St. Lucie, FL (Metro)",46
"Stockton-Lodi, CA (Metro)",46
"Trenton, NJ (Metro)",46
"York-Hanover, PA (Metro)",46
"Fort Collins, CO (Metro)",45
"Naples-Immokalee-Marco Island, FL (Metro)",45
"Salinas, CA (Metro)",43
"Ottawa-Peru, IL (Micro)",41
"East Stroudsburg, PA (Metro)",40
"Peoria, IL (Metro)",40
"Greeley, CO (Metro)",39
"Homosassa Springs, FL (Metro)",39
"Lancaster, PA (Metro)",39
"Merced, CA (Metro)",39
"Oxnard-Thousand Oaks-Ventura, CA (Metro)",39
"Panama City, FL (Metro)",39
"Santa Cruz-Watsonville, CA (Metro)",39
"Colorado Springs, CO (Metro)",38
"Ocala, FL (Metro)",38
"Cape Coral-Fort Myers, FL (Metro)",37
"McAllen-Edinburg-Mission, TX (Metro)",37
"Amarillo, TX (Metro)",36
"El Centro, CA (Metro)",36
"Kennewick-Richland, WA (Metro)",36
"Lubbock, TX (Metro)",36
"Yuba City, CA (Metro)",34
"Bonham, TX (Micro)",32
"Scranton--Wilkes-Barre--Hazleton, PA (Metro)",32
"Wenatchee, WA (Metro)",32
"Bremerton-Silverdale, WA (Metro)",31
"Greenville, OH (Micro)",31
"Santa Maria-Santa Barbara, CA (Metro)",31
"Davenport-Moline-Rock Island, IA-IL (Metro)",30
"Lake Havasu City-Kingman, AZ (Metro)",30
"Providence-Warwick, RI-MA (Metro)",30
"Punta Gorda, FL (Metro)",30
"Reno, NV (Metro)",30
"Sunbury, PA (Micro)",30
"Ukiah, CA (Micro)",30
"Key West, FL (Micro)",29
"Salem, OH (Micro)",29
"Tyler, TX (Metro)",29
"Vineland-Bridgeton, NJ (Metro)",29
"Chambersburg-Waynesboro, PA (Metro)",28
