12/06/2017,Demand
"Payson, AZ (Micro)",28
"Rockford, IL (Metro)",28
"Olympia-Tumwater, WA (Metro)",27
"Moses Lake, WA (Micro)",26
"Portsmouth, OH (Micro)",26
"Pottsville, PA (Micro)",26
"Sulphur Springs, TX (Micro)",26
"Vallejo-Fairfield, CA (Metro)",26
"Yakima, WA (Metro)",26
"Ashtabula, OH (Micro)",25
"Crestview-Fort Walton Beach-Destin, FL (Metro)",25
"Flagstaff, AZ (Metro)",25
"Huntsville, TX (Micro)",25
"Prescott, AZ (Metro)",25
"Sidney, OH (Micro)",25
"Somerset, PA (Micro)",25
"Bloomsburg-Berwick, PA (Metro)",24
"Boulder, CO (Metro)",24
"Bradford, PA (Micro)",24
"Lufkin, TX (Micro)",24
"Springfield, OH (Metro)",24
"Breckenridge, CO (Micro)",23
"Eureka-Arcata-Fortuna, CA (Micro)",23
"Brownsville-Harlingen, TX (Metro)",22
"Fernley, NV (Micro)",22
"Mansfield, OH (Metro)",22
"Portland-Vancouver-Hillsboro, OR-WA (Metro)",22
"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metro)",22
"Santa Rosa, CA (Metro)",22
"Sherman-Denison, TX (Metro)",22
"Sierra Vista-Douglas, AZ (Metro)",22
"Waco, TX (Metro)",22
"Wheeling, WV-OH (Metro)",22
"Carson City, NV (Metro)",21
"Decatur, IL (Metro)",21
"Levelland, TX (Micro)",21
"North Port-Sarasota-Bradenton, FL (Metro)",21
"Quincy, IL-MO (Micro)",21
"Sebastian-Vero Beach, FL (Metro)",21
"Walla Walla, WA (Metro)",21
"Bellingham, WA (Metro)",20
"Carbondale-Marion, IL (Metro)",20
"College Station-Bryan, TX (Metro)",20
"Galesburg, IL (Micro)",20
"Mount Pleasant, TX (Micro)",20
"Palatka, FL (Micro)",20
"Sandusky, OH (Micro)",20
"Show Low, AZ (Micro)",20
"Wooster, OH (Micro)",20
"Bloomington, IL (Metro)",19
"Kankakee, IL (Metro)",19
"Rochelle, IL (Micro)",19
"Sayre, PA (Micro)",19
"Sonora, CA (Micro)",19
"Champaign-Urbana, IL (Metro)",18
"Gainesville, FL (Metro)",18
"Laredo, TX (Metro)",18
"Redding, CA (Metro)",18
"San Angelo, TX (Metro)",18
"Alice, TX (Micro)",17
"Pittsfield, MA (Metro)",17
"Hereford, TX (Micro)",16
"Oak Harbor, WA (Micro)",16
"Plainview, TX (Micro)",16
"Brownwood, TX (Micro)",15
"Gettysburg, PA (Metro)",15
"Huntington-Ashland, WV-KY-OH (Metro)",15
"Norwalk, OH (Micro)",15
"Williamsport, PA (Metro)",15
"Wilmington, OH (Micro)",15
"Athens, TX (Micro)",14
"DuBois, PA (Micro)",14
"Ellensburg, WA (Micro)",14
"Greenfield Town, MA (Micro)",14
"Kingsville, TX (Micro)",14
"Oil City, PA (Micro)",14
"Safford, AZ (Micro)",14
"The Villages, FL (Metro)",14
"Lewiston, ID-WA (Metro)",13
"Ocean City, NJ (Metro)",13
"Okeechobee, FL (Micro)",13
"Point Pleasant, WV-OH (Micro)",13
"Aberdeen, WA (Micro)",12
"Big Spring, TX (Micro)",12
"Gainesville, TX (Micro)",12
"Kerrville, TX (Micro)",12
"Marshall, TX (Micro)",12
"Mount Vernon, IL (Micro)",12
"Sebring, FL (Metro)",12
"Springfield, IL (Metro)",12
"Altoona, PA (Metro)",11
"Madera, CA (Metro)",11
"Mount Vernon-Anacortes, WA (Metro)",11
"Snyder, TX (Micro)",11
"Weirton-Steubenville, WV-OH (Metro)",11
"Dixon, IL (Micro)",10
"Fredericksburg, TX (Micro)",10
"Freeport, IL (Micro)",10
"Johnstown, PA (Metro)",10
"Odessa, TX (Metro)",10
"Urbana, OH (Micro)",10
"Bellefontaine, OH (Micro)",8
"Centralia, WA (Micro)",8
"Jackson, OH (Micro)",8
"Lake City, FL (Micro)",8
"Wapakoneta, OH (Micro)",8
"Wichita Falls, TX (Metro)",8
"Borger, TX (Micro)",7
"Centralia, IL (Micro)",7
"Charleston-Mattoon, IL (Micro)",7
"Corsicana, TX (Micro)",7
"Defiance, OH (Micro)",7
"Durango, CO (Micro)",7
"Fort Morgan, CO (Micro)",7
"Glenwood Springs, CO (Micro)",7
"Lamesa, TX (Micro)",7
"Marietta, OH (Micro)",7
"Midland, TX (Metro)",7
"Montrose, CO (Micro)",7
"Paris, TX (Micro)",7
"Port Angeles, WA (Micro)",7
"Sterling, CO (Micro)",7
"Sweetwater, TX (Micro)",7
"Taylorville, IL (Micro)",7
"Truckee-Grass Valley, CA (Micro)",7
"Zapata, TX (Micro)",7
"Abilene, TX (Metro)",6
"Bay City, TX (Micro)",6
"Brenham, TX (Micro)",6
"Bucyrus, OH (Micro)",6
"Canton, IL (Micro)",6
"Clearlake, CA (Micro)",6
"Danville, IL (Metro)",6
"Effingham, IL (Micro)",6
"Fremont, OH (Micro)",6
"Gardnerville Ranchos, NV (Micro)",6
"Huntingdon, PA (Micro)",6
"Indiana, PA (Micro)",6
"Jacksonville, TX (Micro)",6
"Lebanon, PA (Metro)",6
"Marion, OH (Micro)",6
"Paducah, KY-IL (Micro)",6
"Port Clinton, OH (Micro)",6
"Steamboat Springs, CO (Micro)",6
"Susanville, CA (Micro)",6
"Texarkana, TX-AR (Metro)",6
"Winnemucca, NV (Micro)",6
"Zanesville, OH (Micro)",6
"Grand Junction, CO (Metro)",5
"Lincoln, IL (Micro)",5
"Lock Haven, PA (Micro)",5
"Longview, WA (Metro)",5
"Napa, CA (Metro)",5
"Palestine, TX (Micro)",5
"Pueblo, CO (Metro)",5
"State College, PA (Metro)",5
"Wauchula, FL (Micro)",5
"Victoria, TX (Metro)",4
"Yuma, AZ (Metro)",4
"Lewisburg, PA (Micro)",3
"Selinsgrove, PA (Micro)",3
"Tiffin, OH (Micro)",2
