12/04/2017,Demand
City,Leads
"Los Angeles-Long Beach-Anaheim, CA (Metro)",632
"Chicago-Naperville-Elgin, IL-IN-WI (Metro)",396
"Dallas-Fort Worth-Arlington, TX (Metro)",365
"Houston-The Woodlands-Sugar Land, TX (Metro)",356
Boston,314
"Riverside-San Bernardino-Ontario, CA (Metro)",306
"San Francisco-Oakland-Hayward, CA (Metro)",303
New York,298
"Miami-Fort Lauderdale-West Palm Beach, FL (Metro)",293
Philadelphia,274
"Seattle-Tacoma-Bellevue, WA (Metro)",244
"Tampa-St. Petersburg-Clearwater, FL (Metro)",194
"Cleveland-Elyria, OH (Metro)",192
"San Diego-Carlsbad, CA (Metro)",161
"Orlando-Kissimmee-Sanford, FL (Metro)",155
"Sacramento--Roseville--Arden-Arcade, CA (Metro)",147
Pittsburgh,142
"Beaumont-Port Arthur, TX (Metro)",120
"San Antonio-New Braunfels, TX (Metro)",120
"San Jose-Sunnyvale-Santa Clara, CA (Metro)",109
"Springfield, MA (Metro)",103
"Bakersfield, CA (Metro)",100
"Phoenix-Mesa-Scottsdale, AZ (Metro)",97
"Austin-Round Rock, TX (Metro)",93
"Cincinnati, OH-KY-IN (Metro)",93
"Las Vegas-Henderson-Paradise, NV (Metro)",93
"Jacksonville, FL (Metro)",90
"Columbus, OH (Metro)",88
"Fresno, CA (Metro)",83
"Denver-Aurora-Lakewood, CO (Metro)",76
"El Paso, TX (Metro)",76
"Modesto, CA (Metro)",75
"Allentown-Bethlehem-Easton, PA-NJ (Metro)",73
"Toledo, OH (Metro)",73
"Deltona-Daytona Beach-Ormond Beach, FL (Metro)",68
"Tucson, AZ (Metro)",63
"Salinas, CA (Metro)",62
"North Port-Sarasota-Bradenton, FL (Metro)",61
"Pensacola-Ferry Pass-Brent, FL (Metro)",56
"East Stroudsburg, PA (Metro)",54
"Corpus Christi, TX (Metro)",53
"Palm Bay-Melbourne-Titusville, FL (Metro)",53
"Harrisburg-Carlisle, PA (Metro)",52
"Carbondale-Marion, IL (Metro)",51
"McAllen-Edinburg-Mission, TX (Metro)",51
"Davenport-Moline-Rock Island, IA-IL (Metro)",48
"Cape Coral-Fort Myers, FL (Metro)",47
"Dayton, OH (Metro)",46
"Youngstown-Warren-Boardman, OH-PA (Metro)",46
"Akron, OH (Metro)",45
"Lakeland-Winter Haven, FL (Metro)",44
"Peoria, IL (Metro)",43
"Redding, CA (Metro)",42
"Brownsville-Harlingen, TX (Metro)",41
"Reading, PA (Metro)",41
"Canton-Massillon, OH (Metro)",40
"Reno, NV (Metro)",40
"Scranton--Wilkes-Barre--Hazleton, PA (Metro)",40
"Tallahassee, FL (Metro)",40
"Spokane-Spokane Valley, WA (Metro)",39
"Naples-Immokalee-Marco Island, FL (Metro)",38
"Panama City, FL (Metro)",38
"Bloomington, IL (Metro)",37
"Killeen-Temple, TX (Metro)",37
"Worcester, MA-CT (Metro)",37
"St. Louis, MO-IL (Metro)",36
"Victoria, TX (Metro)",36
"Barnstable Town, MA (Metro)",35
"Fort Collins, CO (Metro)",35
"Port St. Lucie, FL (Metro)",34
"Portland-Vancouver-Hillsboro, OR-WA (Metro)",34
"Lubbock, TX (Metro)",33
"Williamsport, PA (Metro)",33
"Clearlake, CA (Micro)",32
"Moses Lake, WA (Micro)",32
"Oxnard-Thousand Oaks-Ventura, CA (Metro)",32
"Centralia, WA (Micro)",31
"Greeley, CO (Metro)",30
"Hanford-Corcoran, CA (Metro)",30
"Springfield, OH (Metro)",30
"Stockton-Lodi, CA (Metro)",30
"San Angelo, TX (Metro)",29
"Santa Cruz-Watsonville, CA (Metro)",28
"Springfield, IL (Metro)",27
"Ashtabula, OH (Micro)",26
"DuBois, PA (Micro)",26
"Kennewick-Richland, WA (Metro)",26
